District,Year,Crop,Season,Area_Cultivated_Hectares,Average_Temperature_C,Total_Rainfall_mm,Humidity_Percent,Soil_Type,Soil_pH,Nitrogen_N_kg_per_ha,Phosphorus_P_kg_per_ha,Potassium_K_kg_per_ha,Irrigation_Availability,Yield_kg_per_ha,Total_Yield_kg
Aurangabad,2015,Wheat,Rabi,46.0,18.8,689.4,55.5,Sandy,6.48,146.52,74.31,57.73,Partially Irrigated,3952.95,181848.58
Aurangabad,2015,Wheat,Zaid,48.58,18.3,465.4,56.8,Red,6.45,162.93,51.32,58.01,Rainfed,3058.76,148604.93
Dhule,2015,Bajra,Rabi,46.61,25.0,484.4,73.2,Red,6.85,72.05,40.87,39.54,Irrigated,2741.97,127792.96
Dhule,2015,Bajra,Zaid,2.39,31.1,556.7,80.8,Clayey,8.48,69.61,46.63,32.45,Rainfed,1289.07,3085.55
Dhule,2015,Bajra,Rabi,32.46,34.6,552.2,74.7,Red,7.54,61.4,28.0,30.29,Irrigated,1588.64,51562.2
Dhule,2015,Bajra,Kharif,5.7,29.3,432.4,42.2,Loamy,7.4,57.43,33.53,16.51,Irrigated,1830.84,10440.4
Dhule,2015,Bajra,Zaid,20.57,25.9,629.3,58.1,Clayey,6.74,60.06,61.58,33.41,Rainfed,1232.98,25366.64
Dhule,2015,Groundnut,Rabi,16.59,28.7,747.4,54.4,Black,6.82,27.05,32.72,73.74,Rainfed,1158.09,19218.36
Dhule,2015,Groundnut,Zaid,20.75,30.5,817.6,78.4,Laterite,6.63,29.97,34.12,24.2,Irrigated,1575.62,32695.21
Dhule,2015,Groundnut,Zaid,49.2,18.1,662.3,53.1,Clayey,5.8,42.43,45.21,68.62,Rainfed,1546.04,76057.65
Dhule,2015,Groundnut,Zaid,14.84,25.9,510.8,56.3,Laterite,6.69,23.73,27.13,90.81,Rainfed,1511.98,22442.66
Dhule,2015,Groundnut,Zaid,4.02,27.3,384.3,63.5,Loamy,5.99,30.29,40.11,90.5,Rainfed,1624.01,6531.66
Dhule,2015,Jowar,Kharif,15.51,25.2,566.2,81.6,Black,7.93,88.78,67.35,23.74,Partially Irrigated,2473.4,38355.38
Dhule,2015,Jowar,Kharif,7.6,28.9,554.1,80.7,Red,7.44,94.29,27.59,40.54,Partially Irrigated,2869.12,21814.02
Dhule,2015,Jowar,Zaid,32.17,26.7,446.5,83.5,Sandy,7.91,42.96,61.3,30.29,Irrigated,2451.31,78860.45
Dhule,2015,Jowar,Zaid,44.31,25.2,456.0,70.0,Red,7.58,51.79,62.31,23.13,Irrigated,2299.91,101909.82
Dhule,2015,Jowar,Rabi,30.15,25.2,480.0,69.8,Sandy,7.22,62.63,36.34,19.12,Rainfed,1548.89,46699.41
Dhule,2015,Maize,Kharif,31.06,24.2,633.2,41.4,Laterite,6.74,90.24,74.3,40.73,Partially Irrigated,4560.77,141642.38
Dhule,2015,Maize,Rabi,33.31,27.3,867.0,69.9,Clayey,7.01,65.52,46.07,52.99,Irrigated,3351.16,111636.63
Dhule,2015,Maize,Kharif,18.02,29.9,932.6,46.0,Black,6.84,43.75,57.83,41.85,Partially Irrigated,2590.55,46688.11
Dhule,2015,Maize,Kharif,17.66,25.0,528.9,70.1,Black,6.2,65.65,22.61,55.45,Rainfed,2114.65,37345.67
Dhule,2015,Rice,Kharif,40.94,26.2,1556.8,41.8,Laterite,6.51,76.95,50.74,29.72,Irrigated,3560.25,145740.39
Dhule,2015,Sugarcane,Zaid,22.14,27.2,1940.8,73.7,Black,7.64,129.14,81.37,33.66,Partially Irrigated,41190.32,911914.78
Dhule,2015,Sugarcane,Kharif,27.92,35.9,2223.4,60.9,Black,7.43,95.59,94.26,136.69,Partially Irrigated,55645.98,1553732.17
Dhule,2015,Sunflower,Kharif,48.08,21.0,499.9,62.0,Sandy,7.23,78.78,57.83,48.18,Partially Irrigated,1383.89,66531.59
Dhule,2015,Sunflower,Kharif,25.24,24.5,469.7,73.8,Clayey,6.31,99.45,70.21,50.24,Irrigated,2004.82,50595.81
Dhule,2015,Wheat,Rabi,37.96,21.3,629.8,43.6,Sandy,6.74,174.88,65.73,66.43,Irrigated,5191.08,197052.53
Dhule,2015,Wheat,Zaid,37.6,21.2,608.7,41.7,Clayey,7.0,147.8,80.84,61.31,Partially Irrigated,4577.6,172097.29
Dhule,2015,Wheat,Rabi,27.58,24.3,508.7,49.6,Loamy,6.55,123.06,83.68,55.04,Partially Irrigated,3753.88,103535.22
Jalgaon,2015,Cotton,Zaid,35.57,25.3,1002.7,56.5,Black,6.45,112.03,33.43,24.98,Partially Irrigated,1730.48,61552.48
Jalgaon,2015,Cotton,Zaid,4.05,29.4,632.9,56.0,Loamy,7.35,89.5,41.92,57.81,Partially Irrigated,1883.0,7624.09
Jalgaon,2015,Cotton,Kharif,40.08,32.4,649.6,69.6,Loamy,6.19,86.32,42.22,39.2,Rainfed,1400.8,56142.2
Jalgaon,2015,Groundnut,Rabi,37.86,27.9,758.6,66.4,Loamy,6.84,40.61,88.15,48.87,Partially Irrigated,1974.58,74766.25
Jalgaon,2015,Jowar,Kharif,40.59,35.9,624.5,42.0,Laterite,6.32,46.22,35.99,20.45,Partially Irrigated,1252.97,50857.63
Jalgaon,2015,Jowar,Zaid,40.62,22.3,530.2,65.9,Loamy,6.99,65.3,31.69,49.98,Irrigated,2295.9,93249.4
Jalgaon,2015,Jowar,Kharif,24.49,27.9,439.5,43.6,Clayey,7.06,62.04,40.84,25.76,Partially Irrigated,2185.07,53521.41
Jalgaon,2015,Maize,Rabi,24.55,25.3,528.6,60.9,Clayey,6.38,109.56,53.35,68.94,Rainfed,3154.09,77424.82
Jalgaon,2015,Maize,Rabi,46.44,25.1,774.1,55.3,Black,5.83,94.8,50.02,84.2,Rainfed,3169.8,147192.96
Jalgaon,2015,Maize,Kharif,9.95,22.7,639.7,88.8,Clayey,7.16,132.53,69.68,50.59,Partially Irrigated,5059.32,50338.59
Jalgaon,2015,Rice,Zaid,39.61,28.0,1803.6,64.1,Loamy,6.29,82.68,71.18,42.96,Rainfed,3430.8,135883.4
Jalgaon,2015,Rice,Zaid,33.37,24.8,1964.7,53.1,Clayey,6.99,99.12,44.85,51.61,Rainfed,3279.66,109452.36
Jalgaon,2015,Rice,Zaid,39.49,31.3,1581.9,82.2,Sandy,6.57,100.91,53.21,77.77,Partially Irrigated,4160.73,164301.64
Jalgaon,2015,Rice,Kharif,11.5,27.1,477.0,77.2,Clayey,6.36,67.31,33.19,73.27,Rainfed,2782.16,32004.32
Jalgaon,2015,Soybean,Rabi,5.34,18.9,688.3,48.0,Laterite,7.37,51.64,74.56,43.03,Partially Irrigated,2547.14,13595.61
Jalgaon,2015,Soybean,Rabi,4.15,26.0,751.5,42.8,Clayey,5.42,15.49,64.78,33.42,Irrigated,1567.81,6507.97
Jalgaon,2015,Soybean,Kharif,8.49,27.0,352.9,58.8,Sandy,6.46,23.01,33.3,47.97,Irrigated,1827.95,15519.04
Jalgaon,2015,Soybean,Zaid,26.35,20.9,547.4,77.5,Red,6.67,33.28,109.88,43.97,Partially Irrigated,2296.15,60505.73
Jalgaon,2015,Soybean,Zaid,44.82,26.8,813.2,70.5,Laterite,6.49,51.13,88.15,64.73,Partially Irrigated,2223.13,99638.27
Jalgaon,2015,Sugarcane,Zaid,30.71,27.4,2264.8,65.1,Laterite,6.22,181.69,65.37,94.39,Irrigated,56827.64,1744971.85
Jalgaon,2015,Sugarcane,Kharif,31.9,28.8,2372.4,51.1,Laterite,6.91,239.44,75.01,73.2,Rainfed,55210.75,1761155.02
Jalgaon,2015,Sugarcane,Rabi,23.79,43.2,1516.8,69.9,Red,6.79,260.09,42.0,107.49,Rainfed,43135.07,1026276.0
Jalgaon,2015,Sunflower,Kharif,2.48,26.9,410.9,80.7,Clayey,6.37,62.24,56.78,73.14,Partially Irrigated,1627.28,4030.6
Jalgaon,2015,Wheat,Zaid,32.86,15.7,367.7,64.3,Laterite,5.96,103.94,40.69,36.26,Irrigated,2387.67,78464.45
Jalgaon,2015,Wheat,Kharif,44.65,24.1,367.6,77.0,Laterite,7.03,166.13,71.18,36.45,Partially Irrigated,2595.3,115877.37
Jalgaon,2015,Wheat,Rabi,5.64,21.5,514.1,54.0,Clayey,6.32,184.61,48.21,43.43,Rainfed,3413.3,19256.46
Jalgaon,2015,Wheat,Rabi,39.32,23.9,575.5,62.4,Red,6.59,196.01,57.09,25.72,Rainfed,2440.64,95961.17
Jalgaon,2015,Wheat,Zaid,1.46,19.0,488.5,77.1,Laterite,7.07,127.12,60.85,44.74,Rainfed,2881.0,4202.48
Kolhapur,2015,Bajra,Zaid,28.24,35.5,510.1,45.8,Laterite,7.1,44.48,29.8,24.26,Partially Irrigated,1066.65,30117.92
