District,Year,Crop,Season,Area_ha,Avg_Temperature_C,Total_Rainfall_mm,Humidity_pct,Soil_Type,Soil_pH,N_kg_per_ha,P_kg_per_ha,K_kg_per_ha,Irrigation_pct,Yield
WASHIM,2002,Bajra,Kharif,134.42,26.27,1100.8,53.12,Sandy Loam,6.86,98.4,50.0,20.4,16.9,1.8312
RAIGAD,2009,Rice,Kharif,32269.62,26.41,2458.2,74.42,Sandy Loam,5.63,100.5,21.3,39.3,24.1,4.9391
HINGOLI,2022,Soyabean,Kharif,2116.72,27.91,605.3,50.41,Clay,7.21,104.0,39.8,55.0,10.0,2.6859
LATUR,2009,Bajra,Kharif,45209.1,27.59,556.9,58.12,Clay,7.32,80.9,25.2,43.8,18.7,1.5307
SATARA,2009,Wheat,Rabi,525.99,26.82,1033.9,63.33,Clay Loam,7.29,114.8,53.7,50.1,41.2,2.5463
LATUR,2001,Wheat,Rabi,17877.34,27.63,628.5,45.74,Clay Loam,7.65,102.3,37.5,47.3,24.2,2.2909
HINGOLI,2016,Soyabean,Kharif,225.31,27.78,484.0,49.29,Clay,8.0,108.5,44.2,35.5,22.6,2.28
LATUR,2002,Bajra,Kharif,1206.54,26.39,679.4,58.46,Clay,7.87,90.3,33.3,40.8,13.7,1.5162
RATNAGIRI,2018,Onion,Kharif,31.47,26.01,1532.9,85.8,Laterite,6.08,87.2,29.2,31.6,22.0,19.8074
PUNE,2019,Wheat,Rabi,23.59,26.61,895.0,69.66,Loam,6.35,89.1,51.6,37.8,54.0,2.9238
HINGOLI,2015,Groundnut,Kharif,4512.1,26.42,554.1,54.81,Clay,7.56,94.5,42.2,39.1,18.7,1.9632
AMRAVATI,2012,Bajra,Kharif,7002.55,28.38,1271.3,58.14,Clay,7.57,102.3,58.1,38.4,10.0,1.9106
KOLHAPUR,2015,Bajra,Kharif,36065.13,22.84,791.5,57.87,Clay,6.73,146.8,38.8,20.8,35.5,1.6434
NASHIK,2013,Sugarcane,Whole Year,11158.45,29.83,656.4,64.88,Loam,6.39,63.1,36.5,31.2,35.5,88.7748
JALGAON,2019,Bajra,Kharif,699.66,26.37,641.4,46.86,Clay,6.97,129.6,35.8,33.3,38.7,1.8234
GADCHIROLI,2010,Sugarcane,Whole Year,30023.46,26.27,582.5,64.45,Loam,6.68,122.2,36.0,24.4,28.0,105.8247
GONDIA,2013,Bajra,Kharif,2869.24,30.66,794.4,54.27,Clay,7.63,114.6,29.8,34.6,17.5,1.833
WARDHA,2015,Cotton(lint),Kharif,129.92,26.62,724.6,48.41,Clay,7.74,122.4,60.0,53.7,16.9,0.8363
AKOLA,2006,Bajra,Kharif,31646.86,30.8,871.9,55.4,Clay,6.82,89.7,60.0,23.9,16.3,1.4663
NAGPUR,2009,Gram,Rabi,269.32,26.78,508.0,57.07,Clay,7.28,115.7,28.0,36.6,23.7,0.9164
NAGPUR,2011,Bajra,Kharif,636.06,25.91,331.5,67.49,Loam,6.88,77.4,39.9,34.2,14.3,1.6394
AMRAVATI,2000,Jowar,Kharif,205.04,27.89,883.0,60.48,Clay,7.07,92.5,34.4,46.7,33.5,2.3126
BHANDARA,2014,Sugarcane,Whole Year,8450.16,29.9,406.8,55.48,Loam,7.13,100.5,47.0,39.8,27.2,91.9996
NAGPUR,2020,Jowar,Kharif,6201.17,24.65,407.9,56.03,Clay,6.4,88.0,48.3,46.7,21.0,2.3718
CHANDRAPUR,2011,Gram,Rabi,441.77,28.13,817.0,58.64,Sandy Loam,6.28,96.2,24.9,42.5,36.7,1.1303
SOLAPUR,2006,Gram,Rabi,14795.22,24.62,1089.8,66.53,Loam,7.27,114.1,25.7,44.2,31.5,1.084
SINDHUDURG,2017,Soyabean,Kharif,4562.01,26.5,2685.3,85.83,Laterite,5.44,102.0,19.2,31.6,13.6,3.0976
JALNA,2008,Wheat,Rabi,20889.07,29.44,291.2,53.34,Clay,7.59,96.1,29.1,35.6,21.2,2.479
NAGPUR,2004,Bajra,Kharif,8083.95,26.12,961.2,59.29,Clay,7.23,103.1,60.0,31.7,28.6,1.7631
WARDHA,2017,Sugarcane,Whole Year,10055.05,29.59,596.2,51.47,Loam,7.33,112.9,17.4,36.7,24.0,83.84
OSMANABAD,2000,Rice,Kharif,158.1,29.85,505.5,43.51,Clay,7.89,106.6,44.4,54.6,13.9,3.3946
RAIGAD,2000,Onion,Kharif,53.47,28.64,2612.3,83.14,Clay Loam,5.1,75.9,36.1,32.2,20.0,16.8194
PARBHANI,2023,Soyabean,Kharif,3001.83,27.78,682.8,53.48,Clay,7.67,68.6,43.0,48.9,20.2,2.5114
WARDHA,2022,Sugarcane,Whole Year,12204.34,27.02,1083.0,57.38,Sandy Loam,7.05,91.6,48.8,29.3,19.4,101.2091
AMRAVATI,2008,Bajra,Kharif,645.39,25.79,712.5,58.2,Loam,6.92,105.6,48.1,55.0,17.4,1.4159
YAVATMAL,2002,Rice,Kharif,2564.04,27.51,829.2,69.24,Sandy Loam,7.17,94.6,36.1,18.0,10.0,3.7107
SATARA,2022,Jowar,Rabi,682.9,25.27,1021.9,63.13,Loam,6.19,82.1,38.8,17.3,50.4,2.6452
BULDHANA,2001,Jowar,Kharif,2005.22,29.07,980.4,59.05,Loam,6.85,107.3,24.0,51.6,32.4,2.4369
BHANDARA,2000,Onion,Kharif,30.28,27.43,730.1,60.39,Clay,6.49,151.9,28.6,44.8,21.0,20.5494
JALGAON,2004,Bajra,Kharif,44135.66,26.91,952.5,55.09,Clay Loam,6.9,105.2,37.3,50.5,22.9,2.0321
CHANDRAPUR,2001,Onion,Rabi,178.51,23.89,1424.9,60.24,Loam,6.77,80.6,46.4,45.3,11.2,16.2828
THANE,2018,Onion,Kharif,431.0,23.81,2052.4,84.75,Sandy Loam,6.44,74.3,23.9,45.4,33.1,19.2302
RAIGAD,2003,Rice,Kharif,13863.73,25.25,1529.4,84.82,Laterite,5.12,79.9,36.4,55.0,25.1,4.7536
SOLAPUR,2003,Jowar,Kharif,114.65,26.1,1362.6,57.13,Clay,6.43,148.6,45.6,41.4,55.7,2.8277
JALNA,2016,Bajra,Kharif,19199.9,28.62,732.4,53.54,Clay,7.77,103.5,36.4,38.9,10.0,1.8224
AKOLA,2002,Sugarcane,Whole Year,12288.55,26.48,633.3,53.32,Clay,6.93,120.0,34.4,33.2,23.5,99.16
CHANDRAPUR,2015,Wheat,Rabi,2425.09,28.69,975.3,48.86,Sandy Loam,6.05,97.6,36.6,17.9,23.4,1.8923
HINGOLI,2021,Groundnut,Kharif,20807.06,28.57,533.8,43.64,Clay,8.07,122.9,32.0,29.1,11.8,1.6124
JALNA,2005,Bajra,Kharif,75.43,28.4,470.0,50.86,Clay Loam,7.78,93.3,46.7,27.9,21.7,1.6233
RATNAGIRI,2010,Groundnut,Kharif,23885.89,26.64,1837.9,80.03,Laterite,5.71,58.1,32.7,42.5,27.6,2.2393
RATNAGIRI,2012,Bajra,Kharif,16538.72,24.8,2461.8,82.79,Laterite,4.7,59.7,23.9,34.1,23.1,1.909
AHMEDNAGAR,2000,Wheat,Rabi,3800.43,27.76,784.9,61.47,Clay,7.59,110.3,51.1,34.6,10.0,2.127
MUMBAI,2004,Groundnut,Kharif,11446.85,24.15,2265.5,71.77,Sandy Loam,5.56,79.6,9.2,23.1,18.5,2.0706
WARDHA,2019,Soyabean,Kharif,508.2,28.3,951.7,56.8,Clay,7.57,95.3,48.4,27.9,21.1,2.2376
PALGHAR,2015,Jowar,Kharif,38448.77,27.79,2628.5,75.15,Clay Loam,4.56,100.1,35.9,54.3,24.3,3.1757
CHANDRAPUR,2012,Soyabean,Kharif,4737.47,28.1,865.2,55.25,Clay,6.78,107.7,53.6,55.0,14.9,2.263
PARBHANI,2005,Sugarcane,Whole Year,399.64,29.37,273.9,47.62,Clay Loam,8.21,64.7,36.4,40.7,19.3,65.2533
LATUR,2020,Cotton(lint),Kharif,722.91,27.96,427.4,47.2,Clay Loam,7.26,93.2,38.8,29.5,11.1,0.7548
HINGOLI,2009,Sugarcane,Whole Year,23022.02,28.05,344.1,52.13,Clay,7.32,92.4,39.0,41.2,17.7,72.1254
WASHIM,2011,Cotton(lint),Kharif,8493.14,27.07,547.2,53.65,Sandy Loam,7.4,114.1,38.4,29.1,12.1,0.8448
AMRAVATI,2024,Gram,Rabi,1288.45,29.03,1383.1,47.7,Clay,6.91,105.5,46.5,49.6,22.8,1.688
BULDHANA,2015,Rice,Kharif,103.34,27.66,665.0,59.03,Clay,6.83,85.7,33.8,37.8,16.8,3.5018
SOLAPUR,2007,Soyabean,Kharif,8964.57,24.68,818.7,57.83,Loam,7.63,114.9,60.0,27.8,28.4,2.3941
RATNAGIRI,2004,Rice,Kharif,78.62,24.87,2506.8,74.21,Laterite,5.41,98.1,18.9,37.9,12.2,5.0743
SANGLI,2020,Jowar,Rabi,105.29,24.88,1082.2,56.87,Clay,6.53,107.3,23.1,50.7,58.9,2.8766
NASHIK,2008,Gram,Rabi,69.28,27.92,1039.0,52.69,Clay,6.31,102.6,41.5,45.7,37.5,1.4625
MUMBAI,2004,Soyabean,Kharif,133.12,25.91,2466.7,79.07,Clay Loam,5.45,35.4,32.2,30.4,22.8,2.5403
SATARA,2020,Rice,Kharif,2010.01,25.13,907.9,64.45,Clay Loam,7.26,154.9,55.9,27.9,46.3,4.8024
WASHIM,2016,Groundnut,Kharif,1625.39,31.51,246.4,58.83,Loam,7.0,46.9,38.9,17.2,29.7,1.5844
SOLAPUR,2011,Rice,Kharif,460.31,26.61,808.6,58.1,Clay Loam,6.9,112.0,48.9,45.1,53.2,4.5282
MUMBAI,2018,Gram,Rabi,4000.78,29.21,1829.0,87.06,Clay Loam,5.2,75.7,30.3,51.9,43.4,1.0323
SATARA,2012,Gram,Rabi,1588.49,22.95,924.2,67.78,Loam,6.53,140.0,37.9,33.9,41.0,1.4852
JALNA,2001,Groundnut,Kharif,4506.16,28.55,666.1,48.86,Clay,7.73,96.7,42.1,31.1,15.3,1.3069
PUNE,2004,Onion,Rabi,54.06,26.56,961.3,62.08,Clay,7.5,130.2,33.8,23.2,42.2,16.8915
AURANGABAD,2012,Cotton(lint),Kharif,664.46,30.64,700.8,53.96,Clay,7.41,96.3,34.4,46.4,15.4,0.6245
PARBHANI,2001,Wheat,Rabi,10193.04,28.73,780.0,52.74,Clay Loam,8.06,114.0,28.4,32.4,16.8,2.0047
PALGHAR,2020,Bajra,Kharif,6887.73,26.82,1614.5,75.49,Laterite,5.52,91.1,13.1,37.5,32.0,1.7566
SOLAPUR,2008,Soyabean,Kharif,948.62,27.96,1037.8,66.27,Loam,6.81,109.2,26.8,44.0,43.9,2.5563
NASHIK,2022,Rice,Kharif,38260.32,25.15,586.2,40.94,Loam,7.65,125.7,55.2,41.9,27.3,3.8138
WASHIM,2008,Rice,Kharif,1926.26,25.82,894.1,51.1,Clay,6.44,124.4,48.8,51.6,10.0,3.9315
NASHIK,2012,Rice,Kharif,58.81,28.56,608.5,52.4,Clay,7.38,98.5,49.9,55.0,27.2,3.7392
NAGPUR,2019,Groundnut,Kharif,9847.29,28.21,1169.0,59.93,Clay,7.77,125.0,34.6,46.9,37.8,2.1087
NASHIK,2012,Groundnut,Kharif,122.29,29.22,737.7,58.77,Clay Loam,7.13,140.0,50.4,42.9,25.9,2.1082
LATUR,2013,Groundnut,Kharif,115.26,28.83,496.9,55.42,Clay,7.72,141.1,34.0,48.1,25.0,1.9588
GADCHIROLI,2010,Jowar,Kharif,5505.06,26.47,769.4,52.2,Clay,7.04,86.7,48.2,52.6,35.9,2.2001
RATNAGIRI,2000,Wheat,Rabi,4752.16,25.03,2446.7,83.56,Sandy Loam,5.65,91.2,16.2,32.4,30.2,2.1561
NANDED,2006,Cotton(lint),Kharif,53716.53,30.04,553.3,41.58,Clay,7.72,100.9,34.6,38.1,21.9,0.8019
AURANGABAD,2019,Bajra,Kharif,4322.86,29.78,883.5,52.02,Clay,7.13,74.9,52.6,41.6,25.6,1.7453
PUNE,2000,Wheat,Rabi,1246.86,28.44,747.4,54.55,Clay Loam,7.44,126.5,35.7,52.6,37.3,2.7587
PALGHAR,2009,Onion,Kharif,7589.35,25.4,2029.0,84.66,Sandy Loam,5.85,86.2,24.9,42.8,25.6,18.3532
NAGPUR,2003,Sugarcane,Whole Year,41400.47,29.76,567.2,62.29,Loam,6.25,121.2,34.0,34.9,24.4,84.4892
PUNE,2011,Onion,Kharif,3021.52,27.72,635.5,61.91,Clay,7.42,118.0,48.3,31.3,49.3,17.9435
THANE,2017,Bajra,Kharif,23435.34,24.11,1372.1,77.06,Laterite,5.88,66.8,26.7,47.4,17.5,1.621
BHANDARA,2007,Groundnut,Kharif,1275.55,27.45,842.6,59.76,Loam,6.97,108.3,43.7,19.9,21.4,2.0198
THANE,2007,Gram,Rabi,56.93,23.4,2915.1,83.72,Sandy Loam,6.02,76.2,38.8,44.3,25.9,1.3103
YAVATMAL,2005,Groundnut,Kharif,10472.1,28.53,666.7,66.85,Sandy Loam,6.68,124.1,50.0,40.9,24.0,1.5743
OSMANABAD,2023,Groundnut,Kharif,67.74,27.02,787.0,60.92,Clay,7.27,126.8,37.6,29.7,28.4,1.8979
PARBHANI,2001,Onion,Kharif,11439.21,28.92,645.8,38.46,Clay,7.5,113.5,53.5,37.0,17.6,14.2069
SINDHUDURG,2006,Cotton(lint),Kharif,20365.34,27.51,2273.8,79.97,Sandy Loam,5.45,60.3,18.1,40.6,16.6,0.7028
WARDHA,2015,Jowar,Kharif,109.68,28.66,637.8,62.09,Loam,6.98,142.0,29.6,39.9,30.4,3.0105
SINDHUDURG,2020,Wheat,Rabi,4661.22,27.0,2977.6,82.65,Laterite,5.69,62.9,14.3,35.3,37.8,2.6072
KOLHAPUR,2003,Cotton(lint),Kharif,17163.34,26.18,596.5,57.27,Loam,6.7,113.1,60.0,42.9,68.7,0.6975
DHULE,2008,Wheat,Rabi,3187.79,26.2,555.4,54.41,Clay,7.61,119.0,49.3,40.2,36.1,2.911
WARDHA,2008,Wheat,Rabi,16085.2,27.58,782.1,58.81,Loam,7.23,87.8,42.9,24.4,20.7,2.23
RATNAGIRI,2005,Onion,Rabi,1232.6,27.06,2251.0,76.07,Laterite,5.33,74.2,35.4,36.9,23.2,16.707
AHMEDNAGAR,2002,Onion,Kharif,1903.14,29.16,522.4,58.43,Clay,7.3,135.2,49.5,39.1,16.8,17.3443
JALGAON,2023,Soyabean,Kharif,662.06,30.5,758.3,54.67,Clay Loam,7.49,95.8,33.5,37.2,30.4,2.5073
NANDURBAR,2019,Wheat,Rabi,15756.81,28.52,757.0,48.81,Clay,7.71,129.4,48.8,33.2,10.6,2.6386
PUNE,2004,Jowar,Kharif,129.11,28.19,677.1,65.32,Loam,7.26,125.6,55.5,28.4,65.6,2.7445
SINDHUDURG,2018,Groundnut,Kharif,9518.4,27.31,1770.8,74.82,Laterite,6.3,76.3,26.3,50.2,27.0,2.3803
NANDED,2002,Sugarcane,Whole Year,217.71,29.51,430.4,51.43,Clay,7.91,103.6,51.5,55.0,21.7,80.0104
GONDIA,2009,Onion,Kharif,18513.41,27.69,900.7,50.01,Clay,6.46,109.1,52.5,50.3,24.6,17.976
NAGPUR,2000,Onion,Rabi,331.95,27.45,917.1,63.48,Sandy Loam,6.87,74.1,33.3,50.8,19.3,15.7015
JALNA,2016,Wheat,Rabi,45.18,30.64,437.7,38.72,Clay,8.25,108.9,38.4,46.4,10.7,2.8588
WARDHA,2018,Wheat,Rabi,2440.73,30.32,645.2,62.29,Clay,7.91,108.3,21.2,31.3,28.8,2.8131
WARDHA,2021,Gram,Rabi,136.21,30.28,1398.4,59.31,Clay,7.08,84.8,39.9,40.4,27.2,1.2821
AMRAVATI,2024,Cotton(lint),Kharif,421.95,26.83,1095.5,63.78,Loam,7.09,120.4,38.6,20.4,27.7,0.9
DHULE,2024,Onion,Rabi,5443.2,28.41,706.3,48.07,Clay Loam,7.29,126.8,60.0,46.6,23.1,17.9169
BULDHANA,2021,Bajra,Kharif,11675.58,26.97,506.1,53.83,Sandy Loam,6.58,111.4,36.0,38.9,17.2,1.5568
NANDURBAR,2006,Gram,Rabi,6107.92,25.39,516.1,57.37,Clay Loam,7.01,88.0,45.4,40.6,27.4,0.9371
SOLAPUR,2016,Sugarcane,Whole Year,4144.83,21.96,883.1,57.12,Clay,6.67,92.3,44.3,32.6,37.9,85.3949
CHANDRAPUR,2007,Wheat,Rabi,3928.97,29.61,676.1,48.93,Clay,7.2,87.5,33.6,35.3,28.8,1.6848
RAIGAD,2009,Bajra,Kharif,62.81,26.74,2626.4,90.45,Laterite,6.01,73.4,19.5,27.1,17.7,2.0664
NASHIK,2005,Wheat,Rabi,3666.0,27.08,997.0,69.76,Clay,7.72,141.4,60.0,38.3,18.2,2.6507
RAIGAD,2005,Wheat,Rabi,14894.31,26.0,1372.8,67.54,Laterite,5.7,61.2,22.2,43.2,26.8,1.9143
DHULE,2020,Onion,Rabi,646.73,28.18,614.7,55.48,Clay Loam,7.61,96.5,47.7,30.3,24.1,18.4283
BULDHANA,2013,Cotton(lint),Kharif,18496.88,27.07,691.7,57.04,Clay,7.63,113.8,42.0,46.2,28.2,0.8163
BHANDARA,2011,Soyabean,Kharif,166.26,26.45,905.1,65.44,Clay,6.04,109.3,49.6,42.4,24.6,2.1792
AHMEDNAGAR,2000,Rice,Kharif,430.78,24.89,790.9,55.36,Clay,6.93,111.6,55.4,55.0,32.3,3.8868
OSMANABAD,2024,Cotton(lint),Kharif,254.54,27.4,510.4,48.93,Clay,7.35,139.3,34.4,29.0,10.0,0.8703
AURANGABAD,2023,Gram,Rabi,4830.25,28.51,413.0,50.95,Clay,8.1,102.3,44.4,34.3,12.2,1.3112
SINDHUDURG,2024,Onion,Kharif,11471.85,26.31,1406.3,89.09,Sandy Loam,5.08,61.2,12.1,28.7,26.9,19.8568
GONDIA,2019,Cotton(lint),Kharif,445.55,27.88,728.4,58.04,Clay,7.17,112.8,45.6,21.3,16.3,0.8497
GADCHIROLI,2021,Rice,Kharif,169.4,29.42,863.9,67.19,Loam,6.58,130.3,38.4,23.6,34.5,4.5812
JALNA,2002,Groundnut,Kharif,924.89,27.63,742.2,42.28,Clay,7.85,114.7,32.8,24.9,11.4,1.5319
AHMEDNAGAR,2017,Cotton(lint),Kharif,6547.83,28.0,375.0,61.09,Clay,7.73,129.5,38.8,41.6,23.3,0.6873
GONDIA,2007,Wheat,Rabi,3639.4,26.13,811.6,57.37,Loam,7.12,104.2,60.0,46.3,41.8,2.9493
RAIGAD,2015,Onion,Rabi,152.96,26.94,2980.8,82.8,Sandy Loam,5.24,71.1,23.3,29.3,23.3,21.4144
SATARA,2006,Sugarcane,Whole Year,8947.41,25.11,893.9,56.7,Clay Loam,6.98,112.1,60.0,34.1,39.9,99.058
PUNE,2023,Rice,Kharif,27916.11,25.91,412.0,51.41,Clay Loam,6.92,113.3,37.1,55.0,47.8,4.3287
NANDURBAR,2009,Soyabean,Kharif,31513.96,29.26,652.3,70.52,Clay,7.21,100.8,33.8,47.7,21.4,1.7868
MUMBAI,2022,Bajra,Kharif,219.95,28.01,2882.3,81.66,Laterite,5.71,78.7,29.2,34.4,35.5,2.2739
SANGLI,2011,Groundnut,Kharif,400.91,25.93,602.5,68.09,Clay Loam,6.32,131.8,41.2,44.2,34.4,1.9222
AKOLA,2006,Gram,Rabi,28197.42,31.69,1184.2,60.09,Loam,6.72,72.5,38.3,41.6,27.1,0.9652
HINGOLI,2018,Cotton(lint),Kharif,62372.39,28.01,713.4,49.17,Clay,7.85,115.4,44.4,41.7,18.0,0.89
NAGPUR,2022,Gram,Rabi,10396.66,26.63,771.5,63.09,Clay,7.5,89.9,24.9,36.6,21.7,0.8902
NAGPUR,2009,Gram,Rabi,201.91,30.66,856.2,56.8,Clay,7.09,111.8,43.9,21.5,10.0,0.9788
GONDIA,2015,Gram,Rabi,7975.9,28.5,1216.3,54.87,Clay,7.05,118.2,37.2,43.6,11.8,1.264
WASHIM,2020,Gram,Rabi,2947.61,28.93,756.6,53.66,Clay,6.99,97.1,33.2,44.0,10.0,0.7505
BEED,2017,Wheat,Rabi,247.18,28.51,552.2,52.82,Clay,7.69,97.5,27.3,38.1,11.4,2.28
GONDIA,2003,Wheat,Rabi,48.55,28.3,1194.0,58.43,Loam,6.37,125.7,52.9,45.1,29.4,2.9329
YAVATMAL,2014,Cotton(lint),Kharif,3643.47,27.89,742.7,60.32,Clay,7.28,137.4,35.2,42.8,24.3,0.8164
PUNE,2021,Onion,Kharif,12458.06,27.23,1167.5,47.23,Clay,7.02,121.5,60.0,51.2,44.7,16.0696
JALNA,2008,Bajra,Kharif,5238.41,27.39,358.6,50.96,Clay Loam,7.54,82.5,58.2,24.0,10.4,1.5419
AHMEDNAGAR,2021,Rice,Kharif,13016.0,27.35,645.8,44.99,Clay Loam,7.06,129.4,48.6,45.6,31.9,4.2129
RAIGAD,2022,Rice,Kharif,3843.93,26.8,2726.2,78.6,Sandy Loam,5.32,64.2,22.0,43.3,17.3,5.3932
BHANDARA,2004,Rice,Kharif,103.01,29.48,779.2,63.87,Clay,8.1,116.4,35.3,38.9,28.6,4.3808
AKOLA,2011,Sugarcane,Whole Year,1865.49,29.63,1225.0,43.21,Clay,6.3,95.5,45.1,33.6,18.9,84.4779
MUMBAI,2015,Gram,Rabi,8377.85,29.83,2837.4,79.32,Laterite,5.59,69.4,24.1,53.0,30.2,1.1207
BHANDARA,2019,Bajra,Kharif,1376.6,29.1,1024.5,66.0,Loam,7.4,76.8,45.6,51.6,27.0,1.8161
PALGHAR,2004,Wheat,Rabi,47.44,26.7,2613.1,81.11,Clay Loam,5.85,84.9,22.2,29.3,32.9,2.0144
GADCHIROLI,2017,Onion,Kharif,5127.66,26.15,1083.2,61.27,Clay,6.51,117.2,38.3,38.3,20.3,19.5619
AURANGABAD,2001,Rice,Kharif,1999.54,30.46,553.2,50.76,Clay Loam,7.74,105.4,45.8,36.9,30.0,4.1844
AKOLA,2012,Cotton(lint),Kharif,6357.97,27.25,718.8,51.7,Loam,6.65,89.7,34.3,45.6,18.2,0.9
BHANDARA,2023,Gram,Rabi,7097.46,25.2,1218.2,55.27,Loam,7.06,134.2,25.9,36.4,19.4,1.1949
LATUR,2017,Sugarcane,Whole Year,216.95,28.32,534.7,36.06,Clay,7.46,116.1,24.2,46.8,19.8,81.4653
RATNAGIRI,2024,Gram,Rabi,58.19,24.84,1514.3,78.07,Laterite,5.93,71.1,23.6,32.2,35.1,1.3097
WARDHA,2011,Sugarcane,Whole Year,606.78,28.12,720.5,51.6,Loam,7.49,136.8,28.5,37.1,18.8,91.5301
HINGOLI,2011,Cotton(lint),Kharif,274.01,30.17,574.5,54.88,Clay,7.57,106.9,15.4,36.7,27.4,0.8908
SINDHUDURG,2020,Cotton(lint),Kharif,7951.63,26.11,2300.1,82.26,Laterite,6.12,80.9,31.1,36.6,18.6,0.8594
AKOLA,2011,Bajra,Kharif,2581.07,29.26,1075.3,57.89,Loam,7.2,89.2,55.6,40.4,23.9,2.0036
CHANDRAPUR,2005,Wheat,Rabi,38.36,29.31,1064.2,63.78,Clay,6.37,77.3,48.9,42.9,23.3,1.5223
AKOLA,2015,Rice,Kharif,13172.12,29.29,733.3,60.99,Clay,6.79,112.8,54.3,27.2,31.1,4.2695
CHANDRAPUR,2019,Onion,Rabi,21.78,30.58,474.4,51.09,Sandy Loam,6.66,106.8,37.2,47.1,31.8,20.3572
PALGHAR,2022,Soyabean,Kharif,3800.5,27.7,2227.8,73.47,Clay Loam,4.75,68.9,23.5,22.3,23.9,2.798
NANDED,2003,Onion,Kharif,1954.38,26.86,741.2,41.09,Clay,7.6,101.5,32.9,55.0,27.5,17.6294
KOLHAPUR,2024,Jowar,Rabi,28654.84,23.25,702.8,64.54,Clay,6.46,121.9,51.6,30.4,46.6,2.5972
BULDHANA,2017,Onion,Rabi,10891.03,25.03,1249.0,57.49,Clay,6.96,100.9,48.0,39.1,23.6,20.9427
MUMBAI,2006,Groundnut,Kharif,355.32,27.13,2272.0,80.17,Laterite,5.84,69.8,26.3,46.1,12.1,2.1092
