Taluka,Latitude,Longitude,Elevation_m,Year,Month,Temperature_C,Temp_Max_C,Temp_Min_C,Humidity_pct,Rain_mm_per_day,Solar_Radiation_MJ_m2_day,Wind_Speed_m_s,Soil_Moisture_Topsoil_frac,Soil_Moisture_Rootzone_frac
Ajra,16.1546,74.1739,716.0,1998,10,22.57,28.92,14.25,88.64,2.98,16.85,2.03,0.87,0.88
Ajra,16.1546,74.1739,716.0,1998,11,20.89,28.71,11.0,79.97,1.38,18.8,1.76,0.77,0.76
Ajra,16.1546,74.1739,716.0,1998,12,19.66,30.41,10.56,61.49,0.05,17.88,2.6,0.58,0.61
Ajra,16.1546,74.1739,716.0,1998,13,24.21,42.13,10.56,70.96,4.25,19.04,2.69,0.58,0.69
Ajra,16.1546,74.1739,716.0,1999,1,21.05,33.88,11.28,47.38,0.0,19.98,1.95,0.38,0.53
Ajra,16.1546,74.1739,716.0,1999,2,25.7,37.82,12.85,38.1,0.05,22.53,2.02,0.21,0.51
Ajra,16.1546,74.1739,716.0,1999,3,28.12,41.08,16.61,40.23,0.0,25.6,1.94,0.14,0.5
Ajra,16.1546,74.1739,716.0,1999,4,28.42,41.93,19.22,54.79,0.01,26.13,2.68,0.11,0.5
Ajra,16.1546,74.1739,716.0,1999,5,25.88,41.28,20.58,72.05,4.22,21.17,2.81,0.42,0.55
Ajra,16.1546,74.1739,716.0,1999,6,23.63,31.32,19.42,87.04,13.91,16.55,4.4,0.8,0.78
Ajra,16.1546,74.1739,716.0,1999,7,22.99,27.55,20.42,91.52,17.06,14.48,4.84,0.91,0.92
Ajra,16.1546,74.1739,716.0,1999,8,22.68,27.35,19.57,90.01,3.62,15.09,3.84,0.88,0.9
Ajra,16.1546,74.1739,716.0,1999,9,22.74,28.98,18.39,88.36,3.08,17.69,2.62,0.81,0.81
Ajra,16.1546,74.1739,716.0,1999,10,23.12,29.68,14.63,83.02,4.13,18.35,1.79,0.79,0.77
Ajra,16.1546,74.1739,716.0,1999,11,22.03,31.99,12.43,65.89,0.05,19.69,2.0,0.59,0.62
Ajra,16.1546,74.1739,716.0,1999,12,21.58,32.29,10.73,49.84,0.0,19.19,2.04,0.4,0.53
Ajra,16.1546,74.1739,716.0,1999,13,23.98,41.93,10.73,67.52,3.87,19.68,2.75,0.54,0.66
Ajra,16.1546,74.1739,716.0,2000,1,23.37,35.84,12.31,38.34,0.02,19.66,2.05,0.21,0.51
Ajra,16.1546,74.1739,716.0,2000,2,23.41,35.28,12.35,52.99,0.09,22.51,2.21,0.16,0.5
Ajra,16.1546,74.1739,716.0,2000,3,26.57,39.27,14.75,42.04,0.0,24.93,1.95,0.15,0.5
Ajra,16.1546,74.1739,716.0,2000,4,28.59,42.05,18.4,55.29,0.61,26.31,2.62,0.28,0.51
Ajra,16.1546,74.1739,716.0,2000,5,26.39,42.14,20.68,70.38,3.84,22.55,3.26,0.45,0.54
Ajra,16.1546,74.1739,716.0,2000,6,23.72,29.2,19.69,87.8,9.81,16.09,4.04,0.79,0.77
Ajra,16.1546,74.1739,716.0,2000,7,22.65,27.79,19.28,90.53,12.67,16.34,4.64,0.89,0.9
Ajra,16.1546,74.1739,716.0,2000,8,22.7,27.91,19.21,90.0,7.95,15.09,4.01,0.86,0.87
Ajra,16.1546,74.1739,716.0,2000,9,23.41,29.72,18.98,87.47,4.87,18.26,2.32,0.85,0.86
Ajra,16.1546,74.1739,716.0,2000,10,23.31,30.31,15.49,80.61,2.67,18.95,1.15,0.81,0.81
Ajra,16.1546,74.1739,716.0,2000,11,22.06,31.35,13.72,66.76,0.26,19.11,2.0,0.65,0.66
Ajra,16.1546,74.1739,716.0,2000,12,21.22,32.86,11.46,45.08,0.19,18.02,2.43,0.43,0.55
Ajra,16.1546,74.1739,716.0,2000,13,23.95,42.14,11.46,67.28,3.6,19.8,2.73,0.55,0.67
Ajra,16.1546,74.1739,716.0,2001,1,23.32,35.04,13.18,43.82,0.06,18.04,1.78,0.3,0.52
Ajra,16.1546,74.1739,716.0,2001,2,24.99,38.14,13.73,36.16,0.0,22.85,1.7,0.15,0.5
Ajra,16.1546,74.1739,716.0,2001,3,25.79,38.99,14.82,48.62,0.0,24.88,2.37,0.12,0.5
Ajra,16.1546,74.1739,716.0,2001,4,28.69,40.97,17.25,51.96,0.61,24.17,2.03,0.27,0.51
Ajra,16.1546,74.1739,716.0,2001,5,27.27,42.25,20.44,64.28,2.0,24.75,3.51,0.32,0.53
Ajra,16.1546,74.1739,716.0,2001,6,24.04,31.76,20.45,83.31,7.04,17.39,5.0,0.66,0.65
Ajra,16.1546,74.1739,716.0,2001,7,23.12,27.7,19.53,88.35,10.13,14.44,4.92,0.82,0.82
Ajra,16.1546,74.1739,716.0,2001,8,22.66,27.19,19.78,90.61,7.17,14.41,4.29,0.87,0.89
Ajra,16.1546,74.1739,716.0,2001,9,23.19,29.12,18.95,86.76,2.7,18.55,2.33,0.79,0.79
Ajra,16.1546,74.1739,716.0,2001,10,22.7,30.08,14.49,81.77,2.49,18.21,2.1,0.77,0.77
Ajra,16.1546,74.1739,716.0,2001,11,22.9,31.77,13.89,68.51,0.55,18.9,2.09,0.59,0.61
Ajra,16.1546,74.1739,716.0,2001,12,21.98,32.6,12.86,51.52,0.03,17.93,2.43,0.4,0.53
Ajra,16.1546,74.1739,716.0,2001,13,24.21,42.25,12.86,66.48,2.75,19.52,2.89,0.51,0.64
Ajra,16.1546,74.1739,716.0,2002,1,22.11,34.99,10.6,50.36,0.01,19.38,2.21,0.23,0.51
Ajra,16.1546,74.1739,716.0,2002,2,25.35,36.86,15.77,42.05,0.01,21.33,1.86,0.16,0.51
Ajra,16.1546,74.1739,716.0,2002,3,27.8,40.41,16.9,44.38,0.01,24.16,1.99,0.13,0.5
Ajra,16.1546,74.1739,716.0,2002,4,29.74,41.49,18.8,49.32,0.31,25.18,2.12,0.2,0.51
Ajra,16.1546,74.1739,716.0,2002,5,27.65,41.74,20.41,67.41,1.31,24.57,3.17,0.4,0.52
Ajra,16.1546,74.1739,716.0,2002,6,24.54,33.51,21.36,85.93,13.34,16.3,3.98,0.75,0.73
Ajra,16.1546,74.1739,716.0,2002,7,23.54,28.25,20.55,87.51,4.6,15.9,4.61,0.82,0.84
Ajra,16.1546,74.1739,716.0,2002,8,22.88,28.09,19.3,89.61,9.23,14.19,4.46,0.86,0.88
Ajra,16.1546,74.1739,716.0,2002,9,23.13,31.36,18.29,85.01,1.51,20.52,2.56,0.77,0.79
Ajra,16.1546,74.1739,716.0,2002,10,24.0,33.16,17.52,79.39,4.09,18.18,1.87,0.74,0.72
Ajra,16.1546,74.1739,716.0,2002,11,23.26,33.86,14.69,62.73,0.1,19.27,1.77,0.55,0.6
Ajra,16.1546,74.1739,716.0,2002,12,22.44,33.58,13.49,48.73,0.0,18.09,1.9,0.35,0.52
Ajra,16.1546,74.1739,716.0,2002,13,24.69,41.74,10.6,66.18,2.89,19.74,2.72,0.5,0.64
Ajra,16.1546,74.1739,716.0,2003,1,23.61,35.24,12.68,47.0,0.0,18.13,1.66,0.2,0.51
Ajra,16.1546,74.1739,716.0,2003,2,25.76,37.73,15.32,44.94,0.07,22.06,1.78,0.18,0.51
Ajra,16.1546,74.1739,716.0,2003,3,27.61,39.65,16.0,45.33,0.41,23.73,2.0,0.22,0.51
Ajra,16.1546,74.1739,716.0,2003,4,29.2,40.97,18.3,49.41,1.04,24.85,2.0,0.31,0.51
Ajra,16.1546,74.1739,716.0,2003,5,28.82,41.09,19.76,57.99,0.41,26.34,3.44,0.27,0.51
Ajra,16.1546,74.1739,716.0,2003,6,25.43,39.13,20.44,80.01,10.15,18.8,4.1,0.56,0.64
Ajra,16.1546,74.1739,716.0,2003,7,23.6,27.46,20.99,90.68,9.18,15.2,4.34,0.87,0.88
Ajra,16.1546,74.1739,716.0,2003,8,23.36,27.79,20.85,89.49,5.15,15.08,4.05,0.84,0.86
Ajra,16.1546,74.1739,716.0,2003,9,23.24,30.52,19.2,86.59,2.28,18.07,3.13,0.78,0.8
Ajra,16.1546,74.1739,716.0,2003,10,23.57,31.06,14.42,80.05,2.99,18.95,1.53,0.73,0.72
Ajra,16.1546,74.1739,716.0,2003,11,23.21,32.61,13.64,63.62,0.08,18.85,2.02,0.55,0.6
Ajra,16.1546,74.1739,716.0,2003,12,22.21,32.87,12.43,46.73,0.05,18.66,2.12,0.36,0.52
Ajra,16.1546,74.1739,716.0,2003,13,24.96,41.09,12.43,65.27,2.66,19.87,2.69,0.49,0.63
Ajra,16.1546,74.1739,716.0,2004,1,22.46,34.31,12.76,49.78,0.0,19.27,1.88,0.21,0.51
Ajra,16.1546,74.1739,716.0,2004,2,24.97,37.89,13.33,38.88,0.01,22.55,1.73,0.15,0.5
Ajra,16.1546,74.1739,716.0,2004,3,28.49,40.51,17.62,44.57,0.02,25.04,1.79,0.12,0.5
Ajra,16.1546,74.1739,716.0,2004,4,28.86,41.75,18.21,51.26,0.53,25.99,2.31,0.24,0.51
Ajra,16.1546,74.1739,716.0,2004,5,26.19,38.74,20.75,73.64,4.96,21.8,3.11,0.55,0.56
Ajra,16.1546,74.1739,716.0,2004,6,23.76,30.0,20.77,88.45,11.07,17.08,4.39,0.82,0.8
Ajra,16.1546,74.1739,716.0,2004,7,23.24,28.35,20.17,89.39,7.65,15.71,4.05,0.85,0.86
Ajra,16.1546,74.1739,716.0,2004,8,22.73,27.38,19.61,90.63,9.84,14.81,4.89,0.9,0.91
Ajra,16.1546,74.1739,716.0,2004,9,23.0,29.17,18.84,88.15,3.61,17.19,2.21,0.82,0.83
Ajra,16.1546,74.1739,716.0,2004,10,22.98,31.01,14.8,79.36,1.43,20.23,2.17,0.74,0.74
Ajra,16.1546,74.1739,716.0,2004,11,22.68,32.11,13.23,62.59,0.64,18.4,2.3,0.56,0.6
Ajra,16.1546,74.1739,716.0,2004,12,21.65,32.68,12.01,45.18,0.0,19.21,2.38,0.35,0.53
Ajra,16.1546,74.1739,716.0,2004,13,24.24,41.75,12.01,66.91,3.32,19.76,2.77,0.53,0.65
Ajra,16.1546,74.1739,716.0,2005,1,23.06,34.73,12.03,46.51,0.03,18.59,1.76,0.19,0.51
Ajra,16.1546,74.1739,716.0,2005,2,24.9,38.4,13.04,43.37,0.0,22.64,1.98,0.15,0.5
Ajra,16.1546,74.1739,716.0,2005,3,26.95,40.42,14.93,45.19,0.02,24.88,2.05,0.13,0.5
Ajra,16.1546,74.1739,716.0,2005,4,28.22,40.14,18.04,53.87,1.52,23.3,1.8,0.34,0.52
Ajra,16.1546,74.1739,716.0,2005,5,28.01,41.35,19.21,61.08,1.45,24.97,2.86,0.37,0.52
Ajra,16.1546,74.1739,716.0,2005,6,24.79,34.24,20.27,85.11,14.3,18.19,3.98,0.72,0.7
Ajra,16.1546,74.1739,716.0,2005,7,23.41,26.84,20.68,92.55,18.87,13.57,4.54,0.93,0.94
Ajra,16.1546,74.1739,716.0,2005,8,22.9,27.65,19.89,92.27,10.1,14.36,4.12,0.94,0.97
Ajra,16.1546,74.1739,716.0,2005,9,23.04,28.62,19.26,91.79,10.86,14.77,3.29,0.93,0.96
Ajra,16.1546,74.1739,716.0,2005,10,22.77,29.23,14.57,85.32,3.72,18.54,1.67,0.89,0.92
Ajra,16.1546,74.1739,716.0,2005,11,19.45,27.51,11.23,75.43,0.07,19.47,2.37,0.76,0.75
Ajra,16.1546,74.1739,716.0,2005,12,20.33,29.93,10.88,62.01,0.0,18.32,2.09,0.57,0.6
Ajra,16.1546,74.1739,716.0,2005,13,23.98,41.35,10.88,69.68,5.1,19.28,2.71,0.58,0.7
Ajra,16.1546,74.1739,716.0,2006,1,22.14,34.58,10.94,44.72,0.0,19.95,2.1,0.37,0.53
Ajra,16.1546,74.1739,716.0,2006,2,24.89,37.91,13.45,36.77,0.0,23.18,1.86,0.17,0.51
Ajra,16.1546,74.1739,716.0,2006,3,26.06,39.34,14.5,52.03,0.7,24.13,2.0,0.29,0.51
Ajra,16.1546,74.1739,716.0,2006,4,28.46,40.89,18.67,50.58,0.13,25.45,2.62,0.19,0.51
Ajra,16.1546,74.1739,716.0,2006,5,27.69,40.37,21.05,64.73,8.4,23.12,3.1,0.38,0.54
Ajra,16.1546,74.1739,716.0,2006,6,23.87,28.76,20.46,89.53,12.89,18.53,3.46,0.87,0.87
Ajra,16.1546,74.1739,716.0,2006,7,22.98,26.8,20.24,91.4,11.95,13.43,5.49,0.92,0.94
Ajra,16.1546,74.1739,716.0,2006,8,22.46,27.11,19.54,92.02,11.45,13.88,4.48,0.94,0.96
Ajra,16.1546,74.1739,716.0,2006,9,23.28,29.93,19.23,90.2,7.5,17.59,2.53,0.9,0.91
Ajra,16.1546,74.1739,716.0,2006,10,23.12,29.25,17.13,84.02,4.55,18.21,2.17,0.87,0.89
Ajra,16.1546,74.1739,716.0,2006,11,22.05,28.71,15.35,82.45,1.25,16.33,2.08,0.74,0.72
Ajra,16.1546,74.1739,716.0,2006,12,20.53,30.68,11.46,63.64,0.0,18.22,2.21,0.57,0.6
Ajra,16.1546,74.1739,716.0,2006,13,23.95,40.89,10.94,70.36,4.94,19.3,2.85,0.6,0.71
Ajra,16.1546,74.1739,716.0,2007,1,22.47,34.13,11.89,47.13,0.0,19.34,1.59,0.37,0.53
Ajra,16.1546,74.1739,716.0,2007,2,23.95,36.37,12.38,49.86,0.0,22.21,1.94,0.19,0.51
Ajra,16.1546,74.1739,716.0,2007,3,27.66,40.03,15.82,46.13,0.01,23.51,2.03,0.14,0.5
Ajra,16.1546,74.1739,716.0,2007,4,29.18,41.21,19.01,51.9,0.84,24.51,1.97,0.28,0.51
Ajra,16.1546,74.1739,716.0,2007,5,27.47,39.76,20.4,66.22,2.25,24.42,2.98,0.41,0.53
Ajra,16.1546,74.1739,716.0,2007,6,24.62,35.35,20.3,86.42,20.77,16.36,4.09,0.75,0.73
Ajra,16.1546,74.1739,716.0,2007,7,23.47,27.98,20.22,91.78,13.52,14.69,4.47,0.94,0.96
Ajra,16.1546,74.1739,716.0,2007,8,22.96,27.16,20.31,92.36,14.44,15.1,4.11,0.94,0.97
Ajra,16.1546,74.1739,716.0,2007,9,23.07,28.73,19.08,91.48,10.06,15.41,2.93,0.93,0.96
Ajra,16.1546,74.1739,716.0,2007,10,22.59,28.84,15.18,83.57,1.44,18.01,1.82,0.87,0.88
Ajra,16.1546,74.1739,716.0,2007,11,20.31,28.0,9.87,74.53,1.31,19.35,2.04,0.75,0.74
Ajra,16.1546,74.1739,716.0,2007,12,21.37,32.47,12.64,64.37,0.02,17.42,2.13,0.56,0.6
Ajra,16.1546,74.1739,716.0,2007,13,24.09,41.21,9.87,70.59,5.4,19.17,2.68,0.6,0.7
Ajra,16.1546,74.1739,716.0,2008,1,21.61,33.39,10.5,48.04,0.0,19.83,1.9,0.35,0.52
Ajra,16.1546,74.1739,716.0,2008,2,23.45,36.23,11.41,49.14,0.41,20.87,1.84,0.28,0.51
Ajra,16.1546,74.1739,716.0,2008,3,25.95,37.3,16.19,52.5,2.41,22.24,1.6,0.37,0.53
Ajra,16.1546,74.1739,716.0,2008,4,27.31,39.67,15.2,58.26,0.99,25.36,1.91,0.46,0.53
Ajra,16.1546,74.1739,716.0,2008,5,27.0,38.31,20.13,65.38,1.83,25.89,3.26,0.33,0.52
Ajra,16.1546,74.1739,716.0,2008,6,24.1,31.98,20.48,86.41,9.76,16.64,4.41,0.75,0.73
Ajra,16.1546,74.1739,716.0,2008,7,23.58,28.42,20.57,87.95,7.5,16.0,4.28,0.81,0.8
Ajra,16.1546,74.1739,716.0,2008,8,22.95,28.97,19.08,90.97,13.13,14.72,3.69,0.91,0.92
Ajra,16.1546,74.1739,716.0,2008,9,22.8,28.77,17.81,89.82,7.8,16.38,2.73,0.89,0.91
Ajra,16.1546,74.1739,716.0,2008,10,22.93,29.84,13.8,79.48,1.34,20.27,2.0,0.8,0.8
Ajra,16.1546,74.1739,716.0,2008,11,22.45,32.21,13.56,67.13,0.69,17.54,2.36,0.6,0.62
Ajra,16.1546,74.1739,716.0,2008,12,21.87,32.22,11.76,57.71,0.21,17.77,2.08,0.48,0.56
Ajra,16.1546,74.1739,716.0,2008,13,23.83,39.67,10.5,69.44,3.85,19.46,2.67,0.59,0.66
Ajra,16.1546,74.1739,716.0,2009,1,23.1,36.15,13.12,45.02,0.0,19.74,1.94,0.27,0.51
Ajra,16.1546,74.1739,716.0,2009,2,25.69,39.3,14.86,41.3,0.0,22.27,1.62,0.15,0.51
Ajra,16.1546,74.1739,716.0,2009,3,28.04,39.33,17.83,42.9,0.19,23.33,1.85,0.17,0.51
Ajra,16.1546,74.1739,716.0,2009,4,29.18,41.54,19.67,50.87,0.39,23.9,2.24,0.26,0.51
Ajra,16.1546,74.1739,716.0,2009,5,27.85,40.24,20.63,62.74,1.24,24.42,3.04,0.38,0.52
Ajra,16.1546,74.1739,716.0,2009,6,24.55,31.76,20.43,83.07,7.88,18.98,3.53,0.65,0.64
Ajra,16.1546,74.1739,716.0,2009,7,23.17,27.35,20.41,91.63,20.49,13.51,5.7,0.92,0.92
Ajra,16.1546,74.1739,716.0,2009,8,23.25,28.92,20.29,90.17,5.67,16.55,3.41,0.88,0.9
Ajra,16.1546,74.1739,716.0,2009,9,23.52,29.28,19.95,89.67,8.49,16.16,2.44,0.89,0.91
Ajra,16.1546,74.1739,716.0,2009,10,22.56,28.66,14.35,82.41,5.35,17.51,2.1,0.89,0.9
Ajra,16.1546,74.1739,716.0,2009,11,21.8,28.19,12.23,81.87,2.86,16.42,2.32,0.78,0.77
Ajra,16.1546,74.1739,716.0,2009,12,21.31,29.64,13.35,71.69,0.29,16.59,1.96,0.63,0.64
Ajra,16.1546,74.1739,716.0,2009,13,24.49,41.54,12.23,69.6,4.43,19.09,2.69,0.58,0.69
Ajra,16.1546,74.1739,716.0,2010,1,22.18,32.18,11.62,63.61,0.45,17.16,1.65,0.52,0.56
Ajra,16.1546,74.1739,716.0,2010,2,24.96,37.84,14.14,49.45,0.0,21.29,1.91,0.3,0.52
Ajra,16.1546,74.1739,716.0,2010,3,28.37,39.72,17.55,43.02,0.0,22.76,2.07,0.15,0.5
Ajra,16.1546,74.1739,716.0,2010,4,28.97,41.2,17.61,52.5,0.56,24.24,2.02,0.23,0.51
Ajra,16.1546,74.1739,716.0,2010,5,28.69,39.95,21.74,62.69,0.86,24.73,3.13,0.28,0.51
Ajra,16.1546,74.1739,716.0,2010,6,25.01,36.35,21.18,83.25,12.93,18.24,3.83,0.71,0.7
Ajra,16.1546,74.1739,716.0,2010,7,23.24,27.85,19.11,91.25,18.07,13.8,4.23,0.9,0.91
Ajra,16.1546,74.1739,716.0,2010,8,23.12,28.06,20.4,91.97,10.38,14.76,3.81,0.92,0.95
Ajra,16.1546,74.1739,716.0,2010,9,23.24,28.46,19.1,90.38,8.22,16.59,2.64,0.92,0.95
Ajra,16.1546,74.1739,716.0,2010,10,23.03,29.01,15.29,87.59,4.09,17.75,1.95,0.89,0.91
Ajra,16.1546,74.1739,716.0,2010,11,22.37,27.72,16.13,87.0,3.2,15.63,1.86,0.85,0.85
Ajra,16.1546,74.1739,716.0,2010,12,19.7,27.92,9.93,74.18,0.04,17.05,1.91,0.71,0.7
Ajra,16.1546,74.1739,716.0,2010,13,24.4,41.2,9.93,73.21,4.93,18.65,2.59,0.62,0.72
Ajra,16.1546,74.1739,716.0,2011,1,21.07,33.15,10.15,53.13,0.0,19.78,1.9,0.51,0.58
Ajra,16.1546,74.1739,716.0,2011,2,23.2,35.52,12.34,50.79,0.03,21.94,1.9,0.31,0.52
Ajra,16.1546,74.1739,716.0,2011,3,27.66,39.71,16.83,41.93,0.0,24.6,1.94,0.16,0.51
Ajra,16.1546,74.1739,716.0,2011,4,27.59,39.9,15.38,54.98,0.99,23.95,2.16,0.3,0.51
Ajra,16.1546,74.1739,716.0,2011,5,27.59,39.33,20.56,62.73,1.48,24.21,3.08,0.36,0.52
Ajra,16.1546,74.1739,716.0,2011,6,24.39,29.9,20.68,84.69,8.18,14.76,4.97,0.69,0.67
Ajra,16.1546,74.1739,716.0,2011,7,23.18,27.93,18.95,89.72,14.2,14.28,4.55,0.86,0.85
Ajra,16.1546,74.1739,716.0,2011,8,22.9,26.79,19.3,91.55,12.99,14.0,4.17,0.91,0.92
Ajra,16.1546,74.1739,716.0,2011,9,22.75,28.95,17.73,90.33,6.65,17.59,3.08,0.9,0.92
Ajra,16.1546,74.1739,716.0,2011,10,23.31,29.44,17.82,84.38,3.26,18.23,1.82,0.81,0.81
Ajra,16.1546,74.1739,716.0,2011,11,22.15,31.62,12.97,67.64,0.28,18.05,2.49,0.65,0.66
Ajra,16.1546,74.1739,716.0,2011,12,22.23,32.77,11.22,51.28,0.0,17.89,2.18,0.45,0.55
Ajra,16.1546,74.1739,716.0,2011,13,24.01,39.9,10.15,68.68,4.04,19.09,2.86,0.58,0.67
Ajra,16.1546,74.1739,716.0,2012,1,22.17,34.41,11.14,48.81,0.0,19.59,1.83,0.25,0.51
Ajra,16.1546,74.1739,716.0,2012,2,25.05,38.29,14.87,35.77,0.0,22.29,1.87,0.15,0.51
Ajra,16.1546,74.1739,716.0,2012,3,26.73,40.1,11.37,39.9,0.0,24.82,1.99,0.12,0.5
Ajra,16.1546,74.1739,716.0,2012,4,28.18,40.0,18.99,55.3,1.39,23.96,1.95,0.36,0.52
Ajra,16.1546,74.1739,716.0,2012,5,28.06,40.15,19.27,59.22,0.44,24.52,3.44,0.29,0.51
Ajra,16.1546,74.1739,716.0,2012,6,24.63,36.28,20.29,80.62,10.96,18.88,4.24,0.63,0.65
Ajra,16.1546,74.1739,716.0,2012,7,23.35,27.9,20.29,89.66,9.96,14.17,4.55,0.86,0.87
Ajra,16.1546,74.1739,716.0,2012,8,23.09,27.98,19.63,90.67,8.94,15.48,4.26,0.88,0.89
Ajra,16.1546,74.1739,716.0,2012,9,23.0,29.62,18.15,89.01,4.54,16.8,3.06,0.85,0.87
Ajra,16.1546,74.1739,716.0,2012,10,23.25,30.52,15.85,76.94,2.18,18.24,2.05,0.77,0.78
Ajra,16.1546,74.1739,716.0,2012,11,22.55,32.19,10.99,70.9,0.85,17.06,1.42,0.63,0.64
Ajra,16.1546,74.1739,716.0,2012,12,22.71,33.05,13.22,56.15,0.0,18.28,1.98,0.42,0.55
Ajra,16.1546,74.1739,716.0,2012,13,24.39,40.15,10.99,66.16,3.28,19.5,2.73,0.52,0.65
Ajra,16.1546,74.1739,716.0,2013,1,23.32,34.48,13.57,45.76,0.01,19.42,1.58,0.24,0.51
Ajra,16.1546,74.1739,716.0,2013,2,25.36,36.61,13.14,45.02,0.18,21.21,1.84,0.2,0.51
Ajra,16.1546,74.1739,716.0,2013,3,27.52,39.54,15.66,42.94,0.05,23.66,2.26,0.17,0.51
Ajra,16.1546,74.1739,716.0,2013,4,27.94,40.65,17.22,53.15,0.5,25.97,2.59,0.18,0.5
Ajra,16.1546,74.1739,716.0,2013,5,27.52,39.07,19.62,65.4,1.93,23.86,3.23,0.43,0.52
Ajra,16.1546,74.1739,716.0,2013,6,24.13,30.37,21.4,87.08,11.18,14.91,4.75,0.76,0.73
Ajra,16.1546,74.1739,716.0,2013,7,22.92,26.65,20.26,92.33,17.91,11.68,5.4,0.91,0.91
Ajra,16.1546,74.1739,716.0,2013,8,22.73,27.56,20.12,90.74,5.61,15.63,3.96,0.9,0.92
Ajra,16.1546,74.1739,716.0,2013,9,22.92,29.06,19.56,90.35,7.71,16.75,2.53,0.88,0.89
Ajra,16.1546,74.1739,716.0,2013,10,22.83,29.67,15.27,86.63,2.72,17.77,2.01,0.84,0.85
Ajra,16.1546,74.1739,716.0,2013,11,21.76,29.76,12.73,73.37,0.04,17.87,1.94,0.69,0.69
Ajra,16.1546,74.1739,716.0,2013,12,20.85,31.84,10.79,55.27,0.0,18.72,2.01,0.48,0.57
Ajra,16.1546,74.1739,716.0,2013,13,24.14,40.65,10.79,69.12,4.01,18.94,2.85,0.56,0.68
Ajra,16.1546,74.1739,716.0,2014,1,22.72,32.77,13.51,52.99,0.0,17.55,1.95,0.31,0.52
Ajra,16.1546,74.1739,716.0,2014,2,23.79,35.83,12.52,49.97,0.04,20.67,2.13,0.18,0.51
Ajra,16.1546,74.1739,716.0,2014,3,26.78,40.17,12.05,45.05,0.32,23.15,2.03,0.24,0.51
Ajra,16.1546,74.1739,716.0,2014,4,29.04,39.97,17.79,47.71,0.46,22.58,1.92,0.23,0.51
Ajra,16.1546,74.1739,716.0,2014,5,27.71,39.53,19.46,63.82,3.29,23.09,2.26,0.49,0.55
Ajra,16.1546,74.1739,716.0,2014,6,25.31,36.3,21.14,81.91,5.86,20.14,3.75,0.67,0.65
Ajra,16.1546,74.1739,716.0,2014,7,23.64,29.88,20.5,89.1,16.99,13.85,5.09,0.83,0.81
