District_Name,Crop_Year,Season,Crop,Crop_Type,Area_ha,Production_t,Yield_t_per_ha,Temperature_C,Humidity_pct,Rainfall_mm
Ahilyanagar,1998,Kharif,Maize,Cereals,5800.0,12500.0,2.155,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Moong(Green Gram),Pulses,15600.0,9100.0,0.583,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Niger Seed,Oilseeds,2100.0,900.0,0.429,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Other Cereals,Cereals,4100.0,2400.0,0.585,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Other Kharif Pulses,Pulses,16800.0,7000.0,0.417,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Ragi,Cereals,3000.0,2100.0,0.7,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Rice,Cereals,5600.0,7400.0,1.321,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Sesamum,Oilseeds,900.0,300.0,0.333,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Soyabean,Oilseeds,4600.0,5500.0,1.196,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Sugarcane,Sugar,59600.0,5231800.0,87.782,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Sunflower,Oilseeds,11500.0,3500.0,0.304,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Urad,Pulses,2800.0,1300.0,0.464,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Rabi,Gram,Pulses,59600.0,40900.0,0.686,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Jowar,Cereals,453200.0,227900.0,0.503,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Linseed,Oilseeds,1200.0,400.0,0.333,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Maize,Cereals,7900.0,12200.0,1.544,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Other Cereals,Cereals,3000.0,3700.0,1.233,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Other Rabi Pulses,Pulses,500.0,300.0,0.6,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Rapeseed &Mustard,Oilseeds,200.0,,0.0,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Safflower,Oilseeds,30000.0,18500.0,0.617,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Sesamum,Oilseeds,400.0,100.0,0.25,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Sunflower,Oilseeds,9200.0,5100.0,0.554,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Rabi,Wheat,Cereals,124400.0,154200.0,1.24,22.558333333333334,53.64166666666666,168.88
Ahilyanagar,1998,Summer,Groundnut,Oilseeds,15000.0,25700.0,1.713,32.769999999999996,31.119999999999997,24.470000000000002
Ahilyanagar,1998,Summer,Maize,Cereals,1500.0,2300.0,1.533,32.769999999999996,31.119999999999997,24.470000000000002
Ahilyanagar,1998,Summer,Sunflower,Oilseeds,300.0,200.0,0.667,32.769999999999996,31.119999999999997,24.470000000000002
Ahilyanagar,1999,Kharif,Arhar/Tur,Pulses,19000.0,9900.0,0.521,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Bajra,Cereals,310600.0,178300.0,0.574,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Castor Seed,Oilseeds,700.0,200.0,0.286,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Cotton(Lint),Fiber Crops,15000.0,22600.0,1.507,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Groundnut,Oilseeds,7300.0,5400.0,0.74,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Jowar,Cereals,800.0,700.0,0.875,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Maize,Cereals,6400.0,9500.0,1.484,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Moong(Green Gram),Pulses,16800.0,3700.0,0.22,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Niger Seed,Oilseeds,2000.0,500.0,0.25,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Other Kharif Pulses,Pulses,17400.0,5100.0,0.293,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Ragi,Cereals,2600.0,2500.0,0.962,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Rice,Cereals,5700.0,8000.0,1.404,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Sesamum,Oilseeds,900.0,200.0,0.222,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Small Millets,Cereals,600.0,500.0,0.833,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Soyabean,Oilseeds,7500.0,10400.0,1.387,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Sunflower,Oilseeds,11200.0,3900.0,0.348,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Kharif,Urad,Pulses,3200.0,800.0,0.25,25.599999999999998,74.90249999999999,395.46999999999997
Ahilyanagar,1999,Rabi,Gram,Pulses,55300.0,34600.0,0.626,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Jowar,Cereals,498300.0,190900.0,0.383,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Linseed,Oilseeds,1100.0,300.0,0.273,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Maize,Cereals,8800.0,13900.0,1.58,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Other Rabi Pulses,Pulses,1600.0,700.0,0.438,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Rapeseed &Mustard,Oilseeds,100.0,0.0,0.0,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Safflower,Oilseeds,32200.0,16500.0,0.512,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Sesamum,Oilseeds,400.0,100.0,0.25,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Small Millets,Cereals,800.0,200.0,0.25,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Sunflower,Oilseeds,8800.0,5000.0,0.568,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Rabi,Wheat,Cereals,127000.0,178800.0,1.408,22.935000000000002,41.468333333333334,86.32000000000001
Ahilyanagar,1999,Summer,Groundnut,Oilseeds,14100.0,27800.0,1.972,30.91,36.2,39.37
Ahilyanagar,1999,Summer,Maize,Cereals,1700.0,2800.0,1.647,30.91,36.2,39.37
Ahilyanagar,1999,Summer,Sunflower,Oilseeds,300.0,200.0,0.667,30.91,36.2,39.37
Ahilyanagar,1999,Whole Year,Sugarcane,Sugar,66600.0,5962900.0,89.533,25.257499999999997,53.13333333333333,523.37
Ahilyanagar,2000,Kharif,Arhar/Tur,Pulses,19100.0,9400.0,0.492,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Bajra,Cereals,326100.0,187300.0,0.574,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Castor Seed,Oilseeds,500.0,200.0,0.4,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Cotton(Lint),Fiber Crops,15700.0,25600.0,1.631,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Groundnut,Oilseeds,6800.0,6100.0,0.897,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Jowar,Cereals,800.0,700.0,0.875,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Maize,Cereals,7000.0,4400.0,0.629,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Moong(Green Gram),Pulses,19400.0,8400.0,0.433,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Niger Seed,Oilseeds,2300.0,600.0,0.261,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Other Kharif Pulses,Pulses,19100.0,6400.0,0.335,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Ragi,Cereals,4800.0,4300.0,0.896,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Rice,Cereals,5500.0,3800.0,0.691,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Sesamum,Oilseeds,1100.0,200.0,0.182,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Small Millets,Cereals,2700.0,1500.0,0.556,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Soyabean,Oilseeds,7200.0,6200.0,0.861,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Sunflower,Oilseeds,10500.0,5300.0,0.505,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Kharif,Urad,Pulses,3400.0,1800.0,0.529,25.507499999999997,76.17,452.84999999999997
Ahilyanagar,2000,Rabi,Gram,Pulses,61000.0,30300.0,0.497,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Jowar,Cereals,518700.0,160800.0,0.31,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Linseed,Oilseeds,1200.0,300.0,0.25,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Maize,Cereals,14000.0,16200.0,1.157,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Other Rabi Pulses,Pulses,600.0,200.0,0.333,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Rapeseed &Mustard,Oilseeds,200.0,100.0,0.5,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Safflower,Oilseeds,30400.0,14500.0,0.477,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Sesamum,Oilseeds,400.0,100.0,0.25,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Sunflower,Oilseeds,7800.0,4000.0,0.513,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Rabi,Wheat,Cereals,94700.0,135800.0,1.434,24.149999999999995,35.041666666666664,40.78
Ahilyanagar,2000,Summer,Groundnut,Oilseeds,11000.0,18300.0,1.664,30.91,38.455,103.5
Ahilyanagar,2000,Summer,Sunflower,Oilseeds,200.0,100.0,0.5,30.91,38.455,103.5
Ahilyanagar,2000,Whole Year,Sugarcane,Sugar,67100.0,5163900.0,76.958,25.493333333333336,49.2075,600.68
Ahilyanagar,2001,Kharif,Arhar/Tur,Pulses,16700.0,5400.0,0.323,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Bajra,Cereals,194400.0,82000.0,0.422,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Castor Seed,Oilseeds,200.0,100.0,0.5,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Cotton(Lint),Fiber Crops,13500.0,16700.0,1.237,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Groundnut,Oilseeds,5700.0,4500.0,0.789,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Jowar,Cereals,200.0,100.0,0.5,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Maize,Cereals,6400.0,9800.0,1.531,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Moong(Green Gram),Pulses,21000.0,3600.0,0.171,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Niger Seed,Oilseeds,2200.0,400.0,0.182,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Other Kharif Pulses,Pulses,8900.0,2200.0,0.247,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Ragi,Cereals,4600.0,7000.0,1.522,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Rice,Cereals,7300.0,4100.0,0.562,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Sesamum,Oilseeds,800.0,300.0,0.375,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Small Millets,Cereals,1400.0,900.0,0.643,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Soyabean,Oilseeds,7600.0,9000.0,1.184,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Sunflower,Oilseeds,8600.0,2900.0,0.337,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Kharif,Urad,Pulses,4500.0,900.0,0.2,25.735,74.06,392.78999999999996
Ahilyanagar,2001,Rabi,Gram,Pulses,60000.0,33100.0,0.552,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Jowar,Cereals,528900.0,175000.0,0.331,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Linseed,Oilseeds,1300.0,300.0,0.231,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Maize,Cereals,12300.0,22600.0,1.837,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Other Rabi Pulses,Pulses,800.0,400.0,0.5,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Rapeseed &Mustard,Oilseeds,100.0,10.0,0.1,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Safflower,Oilseeds,27400.0,11700.0,0.427,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Sesamum,Oilseeds,200.0,10.0,0.05,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Small Millets,Cereals,6000.0,2900.0,0.483,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Sunflower,Oilseeds,5400.0,7000.0,1.296,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Rabi,Wheat,Cereals,93800.0,156300.0,1.666,23.49333333333333,45.031666666666666,124.60000000000001
Ahilyanagar,2001,Summer,Groundnut,Oilseeds,11000.0,17200.0,1.564,31.380000000000003,34.345,10.68
Ahilyanagar,2001,Summer,Maize,Cereals,1500.0,2100.0,1.4,31.380000000000003,34.345,10.68
Ahilyanagar,2001,Summer,Sunflower,Oilseeds,100.0,100.0,1.0,31.380000000000003,34.345,10.68
Ahilyanagar,2001,Whole Year,Sugarcane,Sugar,52000.0,3596300.0,69.16,25.562500000000004,52.461666666666666,525.7099999999999
Ahilyanagar,2002,Kharif,Arhar/Tur,Pulses,14600.0,5700.0,0.39,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Bajra,Cereals,218400.0,158900.0,0.728,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Castor Seed,Oilseeds,100.0,10.0,0.1,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Cotton(Lint),Fiber Crops,10800.0,8300.0,0.769,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Groundnut,Oilseeds,5800.0,4000.0,0.69,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Jowar,Cereals,100.0,100.0,1.0,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Maize,Cereals,7000.0,12300.0,1.757,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Moong(Green Gram),Pulses,21000.0,10100.0,0.481,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Niger Seed,Oilseeds,2600.0,700.0,0.269,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Other Kharif Pulses,Pulses,13600.0,2400.0,0.176,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Ragi,Cereals,4600.0,3900.0,0.848,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Rice,Cereals,7400.0,1700.0,0.23,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Sesamum,Oilseeds,1300.0,200.0,0.154,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Small Millets,Cereals,3400.0,1300.0,0.382,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Soyabean,Oilseeds,15100.0,18800.0,1.245,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Sunflower,Oilseeds,9300.0,3500.0,0.376,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Kharif,Urad,Pulses,4700.0,2200.0,0.468,26.057499999999997,73.25,407.38
Ahilyanagar,2002,Rabi,Gram,Pulses,64500.0,26500.0,0.411,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Jowar,Cereals,494900.0,117300.0,0.237,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Linseed,Oilseeds,1000.0,200.0,0.2,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Maize,Cereals,11700.0,9100.0,0.778,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Other Rabi Pulses,Pulses,600.0,200.0,0.333,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Rapeseed &Mustard,Oilseeds,100.0,10.0,0.1,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Safflower,Oilseeds,24700.0,7800.0,0.316,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Sesamum,Oilseeds,100.0,10.0,0.1,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Small Millets,Cereals,1700.0,400.0,0.235,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Sunflower,Oilseeds,4200.0,1800.0,0.429,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Rabi,Wheat,Cereals,70400.0,88500.0,1.257,24.831666666666663,36.46666666666667,44.88999999999999
Ahilyanagar,2002,Summer,Groundnut,Oilseeds,5800.0,9900.0,1.707,31.994999999999997,34.435,27.83
Ahilyanagar,2002,Summer,Maize,Cereals,1100.0,1800.0,1.636,31.994999999999997,34.435,27.83
Ahilyanagar,2002,Whole Year,Sugarcane,Sugar,49400.0,3303000.0,66.862,26.23833333333333,48.534166666666664,469.47
Ahilyanagar,2003,Kharif,Arhar/Tur,Pulses,9000.0,3000.0,0.333,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Bajra,Cereals,204100.0,70800.0,0.347,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Cotton(Lint),Fiber Crops,10400.0,10400.0,1.0,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Groundnut,Oilseeds,4200.0,2600.0,0.619,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Jowar,Cereals,100.0,200.0,2.0,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Maize,Cereals,6700.0,6400.0,0.955,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Moong(Green Gram),Pulses,8800.0,2500.0,0.284,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Niger Seed,Oilseeds,2100.0,600.0,0.286,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Other Kharif Pulses,Pulses,10700.0,1600.0,0.15,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Other Oilseeds,Oilseeds,100.0,0.0,0.0,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Ragi,Cereals,4600.0,3700.0,0.804,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Rice,Cereals,7600.0,5900.0,0.776,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Sesamum,Oilseeds,700.0,200.0,0.286,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Small Millets,Cereals,1300.0,400.0,0.308,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Soyabean,Oilseeds,17900.0,18500.0,1.034,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Sunflower,Oilseeds,7500.0,2000.0,0.267,26.055,74.605,386.71
Ahilyanagar,2003,Kharif,Urad,Pulses,3500.0,1800.0,0.514,26.055,74.605,386.71
Ahilyanagar,2003,Rabi,Gram,Pulses,50900.0,20500.0,0.403,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Jowar,Cereals,478300.0,55100.0,0.115,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Linseed,Oilseeds,800.0,200.0,0.25,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Maize,Cereals,10500.0,5400.0,0.514,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Other Rabi Pulses,Pulses,200.0,0.0,0.0,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Rapeseed &Mustard,Oilseeds,200.0,100.0,0.5,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Safflower,Oilseeds,20300.0,3400.0,0.167,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Sesamum,Oilseeds,100.0,100.0,1.0,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Small Millets,Cereals,900.0,100.0,0.111,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Sunflower,Oilseeds,2100.0,700.0,0.333,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Rabi,Wheat,Cereals,39200.0,39500.0,1.008,24.583333333333332,38.40833333333333,31.48
Ahilyanagar,2003,Summer,Groundnut,Oilseeds,1300.0,2400.0,1.846,31.855,32.16,10.5
Ahilyanagar,2003,Summer,Sunflower,Oilseeds,100.0,100.0,1.0,31.855,32.16,10.5
Ahilyanagar,2003,Whole Year,Banana,Fruits,100.0,11170.0,111.7,26.379166666666663,50.057500000000005,437.46
Ahilyanagar,2003,Whole Year,Grapes,Fruits,331.0,7074.0,21.372,26.379166666666663,50.057500000000005,437.46
Ahilyanagar,2003,Whole Year,Mango,Fruits,9294.0,17180.0,1.849,26.379166666666663,50.057500000000005,437.46
Ahilyanagar,2003,Whole Year,Onion,Vegetable,30003.0,296694.0,9.889,26.379166666666663,50.057500000000005,437.46
Ahilyanagar,2003,Whole Year,Sugarcane,Sugar,31200.0,1486800.0,47.654,26.379166666666663,50.057500000000005,437.46
Ahilyanagar,2003,Whole Year,Tomato,Vegetable,1647.0,3291.0,1.998,26.379166666666663,50.057500000000005,437.46
Ahilyanagar,2004,Kharif,Arhar/Tur,Pulses,12200.0,4800.0,0.393,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Bajra,Cereals,240500.0,143400.0,0.596,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Castor Seed,Oilseeds,500.0,200.0,0.4,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Cotton(Lint),Fiber Crops,15900.0,26700.0,1.679,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Groundnut,Oilseeds,5300.0,3900.0,0.736,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Jowar,Cereals,100.0,100.0,1.0,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Maize,Cereals,11400.0,14000.0,1.228,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Moong(Green Gram),Pulses,13100.0,4300.0,0.328,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Niger Seed,Oilseeds,2500.0,800.0,0.32,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Other Cereals,Cereals,2900.0,1000.0,0.345,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Other Kharif Pulses,Pulses,16300.0,4100.0,0.252,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Ragi,Cereals,3000.0,2400.0,0.8,25.762500000000003,76.00999999999999,553.61
Ahilyanagar,2004,Kharif,Rice,Cereals,8000.0,5800.0,0.725,25.762500000000003,76.00999999999999,553.61
